white_elo,black_elo,eco,opening,result,num_plies,time_control
884,885,B01,Scandinavian Defense,1-0,2,600+0
1198,1179,C65,Ruy Lopez: Berlin Defense,0-1,36,600+0
1550,1632,C42,Petrov's Defense: Italian Variation,0-1,50,600+0
1367,1393,C57,"Italian Game: Two Knights Defense, Fritz Variation",0-1,62,600+0
578,512,B00,Hippopotamus Defense,1-0,55,600+0
844,848,C22,Center Game: Normal Variation,1-0,93,600+0
1241,1270,A40,Horwitz Defense,1-0,21,300+3
912,1024,D06,Queen's Gambit Declined: Marshall Defense,1-0,35,300+3
1909,1884,D00,"Queen's Pawn Game: Accelerated London System, Steinitz Countergambit",0-1,80,180+0
1937,1961,B20,Sicilian Defense: Bowdler Attack,1-0,29,180+0
1929,1910,B13,Caro-Kann Defense: Panov Attack,0-1,110,180+0
1820,1839,C11,"French Defense: Classical Variation, Steinitz Variation",0-1,50,180+0
1853,1860,B30,Sicilian Defense: Old Sicilian,0-1,106,180+0
1884,1879,D00,Queen's Pawn Game: Accelerated London System,0-1,80,180+0
1845,1842,B01,Scandinavian Defense: Main Line,0-1,116,180+0
1805,1806,B41,"Sicilian Defense: Kan Variation, Maróczy Bind, Réti Variation",1-0,53,180+0
1800,1764,D00,Queen's Pawn Game: Accelerated London System,1-0,71,180+0
1748,1755,B50,Sicilian Defense: Modern Variations,0-1,54,180+0
1763,1755,?,?,0-1,0,180+0
1677,1687,C20,King's Pawn Game: Leonardis Variation,0-1,88,180+0
1735,1716,A04,Zukertort Opening,1-0,1,180+0
1571,1585,A80,Dutch Defense,0-1,40,180+0
1629,1653,D02,Queen's Pawn Game: Symmetrical Variation,1-0,63,180+0
1594,1599,B10,Caro-Kann Defense,0-1,96,180+0
1547,1549,A01,Nimzo-Larsen Attack: Classical Variation,0-1,56,180+0
1481,1536,B00,Pirc Defense,0-1,48,180+0
1241,1219,B00,King's Pawn Game,1-0,1,180+0
1424,1468,D00,"Queen's Pawn Game: Accelerated London System, Steinitz Countergambit",1-0,69,180+0
1123,1052,A22,"English Opening: King's English Variation, Two Knights Variation",0-1,21,180+0
2102,2114,B23,Sicilian Defense: Closed,1/2-1/2,145,60+0
2039,1855,B22,Sicilian Defense: Alapin Variation,1-0,61,60+1
982,955,D06,Queen's Gambit Declined: Marshall Defense,0-1,80,300+3
1500,1468,A03,Bird Opening: Williams Gambit,1-0,51,180+0
1960,1970,B50,"Sicilian Defense: Delayed Alapin Variation, with d6",1-0,109,60+0
1867,1924,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,0-1,50,60+0
1707,1712,C40,Elephant Gambit,1-0,47,60+0
2359,2275,C01,French Defense: Exchange Variation,0-1,70,60+0
1832,1837,A00,Mieses Opening: Reversed Rat,1-0,27,60+0
1714,1737,B45,"Sicilian Defense: Four Knights Variation, Exchange Variation",0-1,68,60+0
1315,1305,D00,Queen's Pawn Game: Accelerated London System,1-0,47,60+0
2015,2014,A20,English Opening: King's English Variation,0-1,94,60+0
2064,2099,D37,Queen's Gambit Declined: Three Knights Variation,1-0,57,60+0
1684,1640,B01,Scandinavian Defense: Valencian Variation,0-1,80,60+0
1922,1922,B01,Scandinavian Defense,0-1,74,60+0
2219,2229,E60,"King's Indian Defense: Normal Variation, King's Knight Variation",1-0,35,60+0
1997,1973,B23,Sicilian Defense: Closed,0-1,58,60+0
2542,2532,C01,French Defense: Exchange Variation,1/2-1/2,59,60+0
1320,1324,D20,"Queen's Gambit Accepted: Central Variation, Alekhine System",1-0,67,60+0
1577,1450,A00,Hungarian Opening: Indian Defense,1-0,63,60+0
1994,1916,A07,King's Indian Attack,1-0,99,30+0
1970,1942,A04,Zukertort Opening: Slav Invitation,1-0,73,180+0
1643,1708,C46,Three Knights Opening,1-0,40,300+0
1106,1980,A45,Queen's Pawn Game: Chigorin Variation,0-1,52,300+3
2173,2263,C00,French Defense: Queen's Knight,1-0,65,60+1
1994,1815,A00,Van't Kruijs Opening,1-0,83,30+0
1109,1107,B01,Scandinavian Defense: Mieses-Kotroc Variation,1-0,13,0+1
1859,1865,C00,French Defense: Knight Variation,0-1,96,180+0
2076,2078,D32,Queen's Gambit Declined: Tarrasch Defense,1/2-1/2,84,180+0
1596,1597,B21,Sicilian Defense: Smith-Morra Gambit,0-1,104,180+0
1806,1787,A01,Nimzo-Larsen Attack: Classical Variation,1-0,71,180+0
2216,2132,D05,Queen's Pawn Game: Colle System,0-1,90,180+0
2096,2071,A40,Horwitz Defense,0-1,70,180+0
1919,1903,B00,Owen Defense,0-1,72,180+0
1572,1596,B23,Sicilian Defense: Closed,0-1,94,180+0
2126,2131,A00,Van't Kruijs Opening,1-0,53,180+0
2390,2354,A30,English Opening: Symmetrical Variation,1-0,43,180+0
2233,2310,B02,Alekhine Defense,1/2-1/2,130,180+0
1372,1317,A40,Queen's Pawn Game,1-0,31,180+0
1654,1661,A40,Horwitz Defense,1-0,37,180+0
1985,1973,D10,Slav Defense,1/2-1/2,44,180+2
1569,1262,B00,Nimzowitsch Defense: Williams Variation,0-1,56,0+1
2329,2291,A21,English Opening: King's English Variation,1-0,115,60+0
1524,1543,D00,Queen's Pawn Game: Chigorin Variation,1-0,41,180+2
1937,1948,B00,Pirc Defense,1-0,25,60+0
2043,2016,B06,Modern Defense: Standard Line,1-0,41,60+0
1666,1682,D00,Queen's Pawn Game: Accelerated London System,1-0,119,60+0
1643,1638,A00,Barnes Opening,0-1,126,60+0
2066,2072,A43,Benoni Defense: Old Benoni,1-0,83,60+0
1309,1185,C41,Philidor Defense,1-0,73,60+0
2000,1979,D45,Semi-Slav Defense: Main Line,0-1,35,60+0
1526,1556,D00,Queen's Pawn Game: Accelerated London System,0-1,58,60+0
1630,1632,C00,French Defense: Mediterranean Defense,1-0,49,60+0
1697,1758,A43,Benoni Defense: Old Benoni,0-1,44,60+0
1764,1770,A00,Mieses Opening,1-0,35,60+0
2275,2285,A02,Bird Opening,1-0,55,60+0
1791,1868,A00,Mieses Opening,0-1,90,60+0
1516,1474,A00,Hungarian Opening: Symmetrical Variation,1-0,11,60+0
1912,1917,A00,Mieses Opening,0-1,82,60+0
2257,2258,D00,Queen's Pawn Game: Accelerated London System,0-1,108,60+0
1338,1407,C44,King's Knight Opening: Normal Variation,0-1,52,60+0
1590,1647,B40,Sicilian Defense: French Variation,1-0,55,180+2
1981,2000,D00,Queen's Pawn Game,1-0,93,180+0
1645,1826,B20,Sicilian Defense: Bowdler Attack,0-1,54,180+0
1661,1692,B01,Scandinavian Defense: Mieses-Kotroc Variation,1/2-1/2,144,300+0
1937,2029,A11,English Opening: Caro-Kann Defensive System,0-1,70,60+0
1581,1611,A00,Barnes Opening,1-0,59,300+3
1957,1933,B50,Sicilian Defense: Modern Variations,1/2-1/2,148,300+3
1925,1864,D02,Queen's Pawn Game: Zukertort Variation,1-0,49,300+3
793,850,B20,Sicilian Defense,0-1,88,300+3
1097,1089,B18,Caro-Kann Defense: Classical Variation,1-0,23,300+3
1028,1005,A00,Van Geet Opening: Reversed Nimzowitsch,1-0,45,300+3
930,904,C41,Philidor Defense: Lion Variation,1-0,63,300+3
1724,1706,C66,"Ruy Lopez: Berlin Defense, Tarrasch Trap",1-0,89,300+3
1008,1046,A40,Englund Gambit,1-0,35,300+3
1441,1436,C41,Philidor Defense,0-1,138,300+3
1687,1572,D31,Semi-Slav Defense: Accelerated Move Order,0-1,154,300+3
982,946,A00,Hungarian Opening: Reversed Alekhine,0-1,78,300+3
1998,1941,E73,"King's Indian Defense: Normal Variation, Standard Development",1-0,47,180+0
1006,1091,C43,Petrov's Defense: Modern Attack,1-0,27,0+1
1868,1872,B30,Sicilian Defense: Old Sicilian,1-0,69,180+0
2951,2616,E21,Nimzo-Indian Defense: Three Knights Variation,1-0,47,600+5
2081,2096,C00,French Defense: La Bourdonnais Variation,0-1,64,60+0
948,928,C26,"Vienna Game: Stanley Variation, Reversed Spanish",0-1,64,300+0
1675,1682,C00,French Defense: La Bourdonnais Variation,0-1,70,300+0
1697,1720,C40,King's Pawn Game: Gunderam Gambit,1/2-1/2,90,300+0
1851,1792,A30,English Opening: Symmetrical Variation,1-0,103,300+0
1408,1373,C50,Italian Game: Anti-Fried Liver Defense,1-0,89,300+0
1105,1048,C00,Rat Defense: Small Center Defense,1-0,79,300+0
992,977,C00,French Defense: Queen's Knight,1-0,71,300+0
1238,1260,B01,"Scandinavian Defense: Main Line, Leonhardt Gambit",0-1,78,300+0
1106,1092,C41,Philidor Defense,1/2-1/2,196,300+0
726,865,B12,Caro-Kann Defense,1-0,35,300+0
847,848,C40,King's Pawn Game: Damiano Defense,0-1,54,300+0
1438,1431,B30,Sicilian Defense: Old Sicilian,1-0,81,300+0
1121,1142,A01,Nimzo-Larsen Attack: English Variation,1-0,53,300+0
2378,2257,B03,Alekhine Defense: Exchange Variation,1-0,63,300+0
1906,2017,D15,Slav Defense: Three Knights Variation,1-0,129,300+0
1657,1611,D07,"Queen's Gambit Declined: Chigorin Defense, Exchange Variation",1-0,95,300+0
1920,1926,C34,King's Gambit Accepted: Becker Defense,0-1,48,120+1
2019,1984,B00,Duras Gambit,0-1,48,180+0
2154,2103,E20,Nimzo-Indian Defense,0-1,10,180+0
2073,2053,A48,Torre Attack: Fianchetto Defense,0-1,78,180+0
1500,1488,B01,Scandinavian Defense: Modern Variation,1-0,35,180+0
1808,1775,B32,Sicilian Defense: Open,0-1,8,180+0
1315,1361,C50,Italian Game,1/2-1/2,123,300+0
1971,2042,B02,"Alekhine Defense: Scandinavian Variation, Myers Gambit",1-0,105,300+0
1632,1751,B10,Caro-Kann Defense,0-1,86,300+0
1734,1738,C24,Bishop's Opening: Berlin Defense,1/2-1/2,113,600+0
1961,2035,A00,Mieses Opening,1-0,61,15+0
1690,1725,D10,Slav Defense: Exchange Variation,1-0,65,900+0
1762,1781,D00,Queen's Pawn Game,0-1,84,60+0
1852,1865,D02,Queen's Pawn Game: London System,1-0,95,180+0
2342,2500,D10,"Slav Defense: Slav Gambit, Alekhine Attack",0-1,48,300+0
999,1116,B12,Caro-Kann Defense: Advance Variation,0-1,40,600+0
1153,1158,B00,Nimzowitsch Defense,1/2-1/2,78,600+0
1643,1691,A07,King's Indian Attack: Keres Variation,1-0,65,600+0
1491,1401,C42,Petrov's Defense: Stafford Gambit,1-0,95,600+0
782,788,B01,Scandinavian Defense,1-0,71,600+0
1886,1806,B00,Nimzowitsch Defense: Williams Variation,1-0,31,600+0
1531,1514,B00,Rat Defense: Antal Defense,0-1,30,600+0
1123,1128,C01,French Defense: Exchange Variation,0-1,40,600+0
1500,1622,D55,"Queen's Gambit Declined: Modern Variation, Normal Line",1-0,43,600+0
734,692,C20,King's Pawn Game: Wayward Queen Attack,1-0,7,600+0
1925,1920,B40,Sicilian Defense: French Variation,1/2-1/2,158,600+0
1519,1525,D06,Queen's Gambit Declined: Marshall Defense,0-1,82,300+3
1522,1508,B01,Scandinavian Defense: Valencian Variation,1-0,141,300+3
1443,1469,C65,"Ruy Lopez: Berlin Defense, Anti-Berlin Variation",1-0,43,300+3
1334,1206,C57,"Italian Game: Two Knights Defense, Knight Attack, Normal Variation",0-1,84,300+3
1615,1660,D53,Queen's Gambit Declined,0-1,76,300+3
968,844,B00,Nimzowitsch Defense: Pseudo-Spanish Variation,1-0,69,300+3
1533,1531,C00,French Defense: Knight Variation,1-0,77,300+3
1543,1582,D00,Queen's Pawn Game: Accelerated London System,1/2-1/2,142,300+3
1419,1430,C62,Ruy Lopez: Steinitz Defense,0-1,46,300+3
1895,1978,D01,"Rapport-Jobava System, with e6",1-0,65,300+3
986,1012,D02,Queen's Pawn Game: Chigorin Variation,1-0,53,300+3
1827,2148,B23,Sicilian Defense: Closed,0-1,136,180+0
1776,1288,B06,Modern Defense,1-0,97,180+2
876,725,C47,Four Knights Game,1-0,53,180+2
1196,1182,?,?,0-1,0,60+0
1172,866,D00,Queen's Pawn Game: Accelerated London System,0-1,62,60+0
1243,1272,C30,King's Gambit Declined: Queen's Knight Defense,0-1,52,60+0
1647,1972,D93,"Grünfeld Defense: Three Knights Variation, Hungarian Variation",0-1,108,180+2
2121,2168,B20,Sicilian Defense,0-1,82,60+0
2282,2194,C10,French Defense: Paulsen Variation,1-0,57,60+0
2672,2349,C42,Petrov's Defense: Three Knights Game,1-0,79,60+0
2181,2192,A40,Mikenas Defense,0-1,120,60+0
2100,2115,A11,"Réti Opening: Anglo-Slav Variation, with g3",0-1,22,60+0
2085,2089,B10,Caro-Kann Defense,1-0,81,60+0
2083,2066,A00,Van't Kruijs Opening,1-0,31,60+0
2047,2025,B10,Caro-Kann Defense,0-1,76,60+0
2024,2017,B06,Modern Defense: Standard Line,1-0,77,60+0
1921,1915,D11,Slav Defense: Modern Line,0-1,74,60+0
1938,1972,C00,French Defense: Queen's Knight,0-1,62,60+0
1986,1993,A00,Van't Kruijs Opening,0-1,78,60+0
1796,1795,A00,Ware Opening,1-0,57,60+0
1877,1883,A40,Horwitz Defense,0-1,76,60+0
1712,1668,C40,King's Pawn Game: McConnell Defense,1-0,43,60+0
1828,1798,B01,Scandinavian Defense: Mieses-Kotroc Variation,0-1,56,60+0
1785,1737,B32,Sicilian Defense: Accelerated Dragon,1-0,69,60+0
1656,1637,A16,English Opening: Anglo-Grünfeld Defense,0-1,62,60+0
1573,1572,B10,Caro-Kann Defense: Two Knights Attack,0-1,68,60+0
1476,1492,A00,Mieses Opening,0-1,66,60+0
1459,1317,A40,English Defense,1-0,59,60+0
2548,2545,B07,Pirc Defense: Bayonet Attack,1-0,69,60+0
2433,2476,D04,Queen's Pawn Game: Colle System,1-0,31,60+0
1616,1651,A40,Queen's Pawn Game: Modern Defense,1-0,5,60+0
2104,2084,A00,Van't Kruijs Opening,1-0,13,60+0
1332,1347,C47,Four Knights Game: Italian Variation,0-1,92,60+0
1829,1877,B12,Caro-Kann Defense: Maróczy Variation,0-1,90,180+2
1282,1215,C46,Three Knights Opening,1-0,36,180+2
1437,1368,C22,Center Game: Normal Variation,1-0,91,180+2
2173,2180,B08,Pirc Defense: Classical Variation,0-1,38,180+2
1564,1509,C20,King's Pawn Game: Leonardis Variation,0-1,108,180+2
2031,2011,D00,Queen's Pawn Game: Accelerated London System,0-1,130,180+2
2192,2194,E73,King's Indian Defense: Averbakh Variation,0-1,58,180+2
2357,2212,B00,"Nimzowitsch Defense: Kennedy Variation, Linksspringer Variation",0-1,44,180+2
935,938,A40,Horwitz Defense,1-0,83,180+2
1661,1715,B23,Sicilian Defense: Closed,0-1,48,180+2
1586,1604,A50,Indian Defense: Normal Variation,1-0,75,180+2
1144,1138,D01,Rapport-Jobava System,1-0,9,180+2
1897,1882,A41,Queen's Pawn Game,1-0,31,180+2
2190,2208,D15,"Slav Defense: Chebanenko Variation, Advance System",0-1,66,180+0
2085,2115,B07,King's Pawn Game: Maróczy Defense,1-0,87,180+0
2123,2145,E83,"King's Indian Defense: Sämisch Variation, Yates Defense",1-0,81,180+0
1933,1915,D02,Queen's Pawn Game: London System,1-0,21,180+0
1976,2021,A46,Indian Defense: Wade-Tartakower Defense,1-0,53,180+0
2211,2310,C63,Ruy Lopez: Schliemann Defense,0-1,120,180+0
1884,1887,D43,Semi-Slav Defense,0-1,36,180+0
1935,1938,A42,Modern Defense: Averbakh System,0-1,84,180+0
2032,2058,A56,Benoni Defense,1/2-1/2,133,180+0
1960,1962,C30,King's Gambit,1-0,51,180+0
2061,2059,A18,English Opening: Mikenas-Carls Variation,0-1,64,180+0
1956,1952,C50,Four Knights Game: Italian Variation,0-1,114,180+0
1894,1904,A02,Bird Opening,1-0,85,180+0
1910,1910,B21,Sicilian Defense: McDonnell Attack,0-1,64,180+0
1853,1839,B43,"Sicilian Defense: Kan Variation, Knight Variation",1-0,61,180+0
1862,1875,A21,"English Opening: King's English Variation, Reversed Sicilian",1-0,43,180+0
1736,1727,B01,Scandinavian Defense,0-1,104,180+0
1830,1831,D31,Queen's Gambit Declined: Queen's Knight Variation,0-1,50,180+0
1815,1829,A35,"English Opening: Symmetrical Variation, Two Knights Variation",0-1,76,180+0
1544,1541,?,?,0-1,0,180+0
1793,1805,A45,Trompowsky Attack,1/2-1/2,93,180+0
1792,1786,A45,Indian Defense: Accelerated London System,1-0,117,180+0
1781,1756,A04,Zukertort Opening: Ware Defense,0-1,70,180+0
1675,1726,?,?,0-1,0,180+0
1655,1582,B06,Modern Defense: Standard Defense,0-1,66,180+0
1658,1665,D45,Semi-Slav Defense: Main Line,1-0,87,180+0
1527,1497,A41,Queen's Pawn Game,1-0,79,180+0
1474,1368,A00,Van't Kruijs Opening,1-0,45,180+0
1582,1543,B00,Nimzowitsch Defense: Franco-Nimzowitsch Variation,1-0,47,15+0
1549,1500,C21,Danish Gambit,0-1,30,600+0
905,1035,C47,Four Knights Game: Italian Variation,0-1,54,600+0
1634,1563,A40,Queen's Pawn Game,1-0,45,600+0
1713,1637,C36,King's Gambit Accepted: Modern Defense,1-0,21,600+0
681,660,C57,"Italian Game: Two Knights Defense, Ponziani-Steinitz Gambit",1-0,13,600+0
846,883,A40,Englund Gambit Declined: Reversed French,0-1,30,600+0
2123,2061,A48,London System,1/2-1/2,65,600+0
1115,1080,C23,Bishop's Opening,0-1,60,600+0
1477,1487,B01,Scandinavian Defense,0-1,94,600+0
1356,1389,C20,King's Pawn Game: Leonardis Variation,1/2-1/2,59,600+0
1294,1301,C22,Center Game: Paulsen Attack Variation,0-1,68,600+0
1529,1530,C68,Ruy Lopez: Exchange Variation,1-0,57,600+0
1780,1732,C40,King's Knight Opening,1-0,77,600+0
1458,1437,C50,Italian Game: Anti-Fried Liver Defense,1-0,49,300+0
2114,2155,A61,Benoni Defense,0-1,90,300+0
1695,1651,C44,Ponziani Opening,0-1,68,300+0
1037,1008,D53,Queen's Gambit Declined,1-0,63,300+0
1423,1402,A00,Van't Kruijs Opening,0-1,78,300+0
931,952,C20,King's Pawn Game: Leonardis Variation,0-1,88,300+0
1383,1322,B30,Sicilian Defense: Old Sicilian,1-0,59,300+0
1578,1560,B12,Caro-Kann Defense: Maróczy Variation,1-0,81,300+0
1568,1555,C23,Bishop's Opening: Philidor Counterattack,1-0,37,300+0
2103,2086,B00,Nimzowitsch Defense,0-1,144,180+0
1430,1416,B50,Sicilian Defense: Modern Variations,1-0,91,180+0
1236,1315,C00,French Defense: Bird Invitation,1-0,77,180+0
1999,1999,A21,"English Opening: King's English Variation, Reversed Sicilian",1-0,57,180+0
1920,1956,B00,Duras Gambit,1/2-1/2,92,180+0
1687,1804,B10,Caro-Kann Defense,1-0,63,180+0
1321,1235,B10,Caro-Kann Defense,1-0,84,180+0
1373,1384,C00,French Defense: Knight Variation,1-0,70,180+0
1712,1691,C34,King's Gambit Accepted: Fischer Defense,1-0,45,180+0
1570,1566,B50,Sicilian Defense: Modern Variations,1-0,137,180+0
1744,1725,C46,Three Knights Opening,1/2-1/2,111,180+0
1887,1845,D06,Queen's Gambit Declined: Marshall Defense,1-0,107,180+0
1491,1495,C20,King's Pawn Game: Leonardis Variation,1-0,55,180+0
1826,1834,C44,Scotch Game: Göring Gambit,0-1,38,180+0
1581,1590,A07,King's Indian Attack,0-1,38,180+0
1559,1514,B06,Modern Defense,0-1,66,180+0
1833,1766,D10,Slav Defense: Exchange Variation,1-0,61,300+0
1220,1170,A00,Mieses Opening,0-1,50,300+0
1468,1512,A40,Englund Gambit,1-0,27,300+0
1674,1680,B80,Sicilian Defense: Scheveningen Variation,1-0,59,300+0
1541,1536,C42,Petrov's Defense: Italian Variation,1-0,53,300+0
1931,1936,C00,French Defense: La Bourdonnais Variation,1-0,41,300+0
1738,1764,B38,"Sicilian Defense: Accelerated Dragon, Maróczy Bind",0-1,52,300+0
1402,1385,B23,"Sicilian Defense: Closed, Traditional",0-1,74,300+0
1872,1884,D06,Queen's Gambit Declined: Baltic Defense,0-1,148,300+0
1716,1726,B00,Nimzowitsch Defense: Pseudo-Spanish Variation,0-1,65,300+0
2052,2092,D10,Slav Defense,1-0,115,300+0
2229,2137,D15,Slav Defense: Geller Gambit,0-1,98,300+0
962,905,B00,Borg Defense,0-1,42,300+0
1598,1589,C65,Ruy Lopez: Berlin Defense,0-1,70,300+0
1697,1690,C47,Four Knights Game: Scotch Variation Accepted,0-1,80,300+0
1226,1322,D02,Queen's Pawn Game: Symmetrical Variation,0-1,54,300+0
1549,1548,A40,Queen's Pawn Game: Modern Defense,1-0,89,300+0
1106,1074,A00,Mieses Opening,1-0,67,300+0
1669,1967,C22,Center Game: Paulsen Attack Variation,0-1,58,120+2
2182,2138,A40,Englund Gambit Declined: Reversed Krebs,1-0,95,60+0
1908,1900,C21,Center Game: Kieseritzky Variation,0-1,42,60+0
1899,1827,B12,"Caro-Kann Defense: Advance Variation, Short Variation",0-1,32,60+0
1948,2008,A40,Englund Gambit: Felbecker Gambit,0-1,64,60+0
1632,1535,C00,French Defense: Two Knights Variation,1-0,59,60+0
1833,1886,D00,"Queen's Pawn Game: Accelerated London System, Steinitz Countergambit",1-0,49,60+0
2176,2161,A40,Englund Gambit Declined,0-1,82,60+0
2365,2457,C01,French Defense: Exchange Variation,0-1,60,60+0
1273,1253,A13,English Opening: Agincourt Defense,0-1,34,60+0
1815,1807,B01,Scandinavian Defense: Modern Variation,1-0,71,60+0
1478,1493,C43,Petrov's Defense: Modern Attack,0-1,52,60+0
1374,1451,B01,Scandinavian Defense: Modern Variation,0-1,38,60+0
2057,2073,B01,Scandinavian Defense: Modern Variation,1-0,111,60+0
2024,2044,C00,French Defense,1-0,61,60+0
1503,1505,B13,Caro-Kann Defense: Exchange Variation,1-0,53,60+0
1703,1788,D35,Queen's Gambit Declined: Normal Defense,1-0,47,60+0
2199,2182,B20,Sicilian Defense: Staunton-Cochrane Variation,1-0,119,60+0
1927,1914,B01,Scandinavian Defense: Mieses-Kotroc Variation,0-1,80,60+0
2529,2516,B12,Caro-Kann Defense: Advance Variation,1-0,119,60+0
1626,1628,C44,Ponziani Opening,0-1,56,300+3
1507,1473,D20,"Queen's Gambit Accepted: Central Variation, McDonnell Defense",1-0,103,300+3
1436,1464,B20,Sicilian Defense: Bowdler Attack,1-0,91,300+3
1102,1140,B00,Owen Defense,1-0,45,300+3
1826,1882,D52,Queen's Gambit Declined,0-1,71,300+3
826,828,D00,Queen's Pawn Game: Accelerated London System,0-1,34,300+3
1349,1313,D04,Queen's Pawn Game: Colle System,1-0,81,300+3
1715,1803,A80,Dutch Defense,0-1,54,300+3
1555,1601,B10,"Caro-Kann Defense: Accelerated Panov Attack, Modern Variation",1-0,59,300+3
1196,1164,C02,French Defense: Advance Variation,1-0,75,300+3
2170,2124,A07,"King's Indian Attack, with e6",1-0,53,180+2
1372,1386,C21,Danish Gambit Accepted: Copenhagen Defense,1-0,51,180+2
1338,1270,B23,"Sicilian Defense: Closed, Traditional",0-1,72,180+2
1487,1484,C25,Vienna Game: Anderssen Defense,1/2-1/2,74,180+2
2414,2358,A40,Queen's Pawn Game: Modern Defense,1-0,55,30+0
2110,2067,A40,Englund Gambit Declined: Reversed Krebs,1/2-1/2,139,60+0
1191,1279,B50,Sicilian Defense: Modern Variations,0-1,46,300+3
1992,1899,A18,English Opening: Mikenas-Carls Variation,0-1,97,300+3
1758,1759,A04,Zukertort Opening: Sicilian Invitation,1-0,73,300+3
1153,1117,C41,Philidor Defense,0-1,32,300+3
1470,1460,D01,Rapport-Jobava System,1-0,34,300+3
1377,1285,C54,"Italian Game: Classical Variation, Giuoco Pianissimo, Albin Variation",1-0,39,300+3
1683,1724,C66,"Ruy Lopez: Berlin Defense, Improved Steinitz Defense",1-0,143,300+3
1630,1599,B20,Sicilian Defense: Bowdler Attack,0-1,89,300+3
